Traveler ID;dgs;imageset;Rosetta Project;Rosetta State;IDX Project;Project State;Projects with no Imageset workflow
16-1509;102575897;null;[Australia, South Australia—Passenger Lists, 1849–1940 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/013CC220-74C0-4820-B2F2-25016676B934/overview];In Production;;;
16-1509;102576020;null;[Australia, South Australia—Passenger Lists, 1849–1940 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/013CC220-74C0-4820-B2F2-25016676B934/overview];In Production;;;
16-1509;102612926;[71EAE1C7-A3B7-4EDC-9B0F-A8D0DD26A31C|https://www.familysearch.org/indexing/admin-new/#/projects/AFA76B7C-A2A5-4644-8589-C11082FFE3E1/manage/71EAE1C7-A3B7-4EDC-9B0F-A8D0DD26A31C/batches/list];;;[Australia, South Australia—Passenger Lists, 1849–1940 \[Part G\]|https://www.familysearch.org/indexing/admin-new/#/projects/AFA76B7C-A2A5-4644-8589-C11082FFE3E1/overview];READY_FOR_DELIVERY;
16-1509;102691934;null;[Australia, South Australia—Passenger Lists, 1849–1940 \[Part P\]|https://www.familysearch.org/indexing/admin-new/#/projects/7BF7D5D4-EF40-4F86-AABD-23E097C13C8C/overview];In Production;;;
16-1509;102692185;null;[Australia, South Australia—Passenger Lists, 1849–1940 \[Part P\]|https://www.familysearch.org/indexing/admin-new/#/projects/7BF7D5D4-EF40-4F86-AABD-23E097C13C8C/overview];In Production;;;
16-1509;102763076;null;[Australia, South Australia—Passenger Lists, 1849–1940 \[Part P\]|https://www.familysearch.org/indexing/admin-new/#/projects/7BF7D5D4-EF40-4F86-AABD-23E097C13C8C/overview];In Production;;;
16-1509;102872181;null;[Australia, South Australia—Passenger Lists, 1849–1940 \[Part Y\]|https://www.familysearch.org/indexing/admin-new/#/projects/425A2606-18F6-4FAD-9096-40E48714947C/overview];In Production;;;
