dgs;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Projects with no Imageset workflow
007354713;16-1442: Perú, Junín, Civil Registration, 1890-1999 - FSI;;;[Perú, Junín—Registro Civil, Nacimientos, 1890–1999 \[Parte D\]|https://www.familysearch.org/indexing/admin-new/#/projects/A72B8BBD-67FB-4637-834B-435E6E5998BA/overview];[96A40FDC-6D24-4A16-B4DD-773CC5570824|https://www.familysearch.org/indexing/admin-new/#/projects/A72B8BBD-67FB-4637-834B-435E6E5998BA/manage/96A40FDC-6D24-4A16-B4DD-773CC5570824/batches/list];READY_FOR_DELIVERY;
007354715;16-1442: Perú, Junín, Civil Registration, 1890-1999 - FSI;;;[Peru, Junin—Civil Registration, Births, 1890–1999 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/overview];[74CE3AEE-3015-446D-B0A1-D638E765978F|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/74CE3AEE-3015-446D-B0A1-D638E765978F/batches/list];READY_FOR_DELIVERY;
007354717;16-1442: Perú, Junín, Civil Registration, 1890-1999 - FSI;;;[Peru, Junin—Civil Registration, Births, 1890–1999 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/overview];[061415F6-352F-4A04-946B-69A97C9C371C|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/061415F6-352F-4A04-946B-69A97C9C371C/batches/list];READY_FOR_DELIVERY;
007354719;16-1442: Perú, Junín, Civil Registration, 1890-1999 - FSI;;;[Peru, Junin—Civil Registration, Births, 1890–1999 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/overview];[CD1774A5-E3BE-456B-93DE-76D0D556FB28|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/CD1774A5-E3BE-456B-93DE-76D0D556FB28/batches/list];READY_FOR_DELIVERY;
007354727;16-1442: Perú, Junín, Civil Registration, 1890-1999 - FSI;;;[Peru, Junin—Civil Registration, Births, 1890–1999 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/overview];[6D5601EF-0247-43CA-8538-757E082B117E|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/6D5601EF-0247-43CA-8538-757E082B117E/batches/list];READY_FOR_DELIVERY;
007354729;16-1442: Perú, Junín, Civil Registration, 1890-1999 - FSI;;;[Peru, Junin—Civil Registration, Births, 1890–1999 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/overview];[FCEAC52F-EC7B-4BED-B3C4-9BEE7AFFFDAB|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/FCEAC52F-EC7B-4BED-B3C4-9BEE7AFFFDAB/batches/list];READY_FOR_DELIVERY;
007354731;16-1442: Perú, Junín, Civil Registration, 1890-1999 - FSI;;;[Peru, Junin—Civil Registration, Births, 1890–1999 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/overview];[F05F104C-79BF-42E4-98EB-26ECD7721F5C|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/F05F104C-79BF-42E4-98EB-26ECD7721F5C/batches/list];READY_FOR_DELIVERY;
007354735;16-1442: Perú, Junín, Civil Registration, 1890-1999 - FSI;;;[Peru, Junin—Civil Registration, Births, 1890–1999 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/overview];[2B7F9CEE-62E7-4A8F-AB5E-859DF98E71CA|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/2B7F9CEE-62E7-4A8F-AB5E-859DF98E71CA/batches/list];READY_FOR_DELIVERY;
007354736;16-1442: Perú, Junín, Civil Registration, 1890-1999 - FSI;;;[Peru, Junin—Civil Registration, Births, 1890–1999 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/overview];[4A26574A-8C1A-4749-90D4-36E1C15CED28|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/4A26574A-8C1A-4749-90D4-36E1C15CED28/batches/list];READY_FOR_DELIVERY;
007354737;16-1442: Perú, Junín, Civil Registration, 1890-1999 - FSI;;;[Peru, Junin—Civil Registration, Births, 1890–1999 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/overview];[7C798D76-9F9E-4C93-9A1F-6AE1D71225D9|https://www.familysearch.org/indexing/admin-new/#/projects/E5EEB6C8-DF35-4690-8D63-122A87B2FA22/manage/7C798D76-9F9E-4C93-9A1F-6AE1D71225D9/batches/list];READY_FOR_DELIVERY;
