Traveler;Rosetta Project;Rosetta State;IDX Project;Project UUID;Project State
[15-1385|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1385];Italy, Udine, Civil Registration, 1806-1900 (DGA Project) - FSI;In Production;[Italia (Antenati Italiani), Udine—Nati, 1806–1900 \[Parte 2F\]|https:///www.familysearch.org/indexing/admin-new/#/projects/A558AE93-789F-41A9-80BC-3E841901FA6A/overview];A558AE93-789F-41A9-80BC-3E841901FA6A;READY_FOR_DELIVERY
[15-1385|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1385];Italy, Udine, Civil Registration, 1806-1900 (DGA Project) - FSI;In Production;[Italia (Antenati Italiani), Udine—Nati, 1806–1900 \[Parte 2G\]|https:///www.familysearch.org/indexing/admin-new/#/projects/F3105A29-28A4-430D-8EB4-5DF50D56718F/overview];F3105A29-28A4-430D-8EB4-5DF50D56718F;READY_FOR_DELIVERY
[15-1385|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1385];Italy, Udine, Civil Registration, 1806-1900 (DGA Project) - FSI;In Production;[Italia (Antenati Italiani), Udine—Nati, 1806–1900 \[Parte 2J\]|https:///www.familysearch.org/indexing/admin-new/#/projects/4C2596F6-3759-4E20-AE1C-A89335D31341/overview];4C2596F6-3759-4E20-AE1C-A89335D31341;READY_FOR_DELIVERY
[15-1385|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1385];Italy, Udine, Civil Registration, 1806-1900 (DGA Project) - FSI;In Production;[Italia (Antenati Italiani), Udine—Nati, 1806–1900 \[Parte 2L\]|https:///www.familysearch.org/indexing/admin-new/#/projects/2C0B14DB-B474-441F-9676-A2EB0EC6E49E/overview];2C0B14DB-B474-441F-9676-A2EB0EC6E49E;READY_FOR_DELIVERY
[15-1385|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1385];Italy, Udine, Civil Registration, 1806-1900 (DGA Project) - FSI;In Production;[Italia (Antenati Italiani), Udine—Nati, 1875–1900 \[Parte 2H\]|https:///www.familysearch.org/indexing/admin-new/#/projects/42B78A49-C62F-4E56-A270-FD97286829CA/overview];42B78A49-C62F-4E56-A270-FD97286829CA;READY_FOR_DELIVERY
[15-1385|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1385];Italy, Udine, Civil Registration, 1806-1900 (DGA Project) - FSI;In Production;[Italia (Antenati Italiani), Udine—Nati, 1875–1901 \[Parte 2J\]|https:///www.familysearch.org/indexing/admin-new/#/projects/1EBD10F9-3FDB-428E-BF43-80C55E8F0E32/overview];1EBD10F9-3FDB-428E-BF43-80C55E8F0E32;READY_FOR_DELIVERY
[15-1385|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1385];Italy, Udine, Civil Registration, 1806-1900 (DGA Project) - FSI;In Production;[Italia (Antenati Italiani), Udine—Stato Civile, 1806–1900 \[Parte 2K\]|https:///www.familysearch.org/indexing/admin-new/#/projects/1667C9E1-BB2D-4E9F-AE58-F61E9B48739D/overview];1667C9E1-BB2D-4E9F-AE58-F61E9B48739D;READY_FOR_DELIVERY
[15-1385|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1385];Italy, Udine, Civil Registration, 1806-1900 (DGA Project) - FSI;In Production;[Italy (Italian Ancestors), Udine—Civil Registration, 1806–1900 \[Part 2L\]|https:///www.familysearch.org/indexing/admin-new/#/projects/433BE231-3D8C-4221-BE94-EC4474C16EEA/overview];433BE231-3D8C-4221-BE94-EC4474C16EEA;ACTIVE
[15-1385|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1385];Italy, Udine, Civil Registration, 1806-1900 (DGA Project) - FSI;In Production;[Italy (Italian Ancestors), Udine—Civil Registration, 1806–1900 \[Part 2M\]|https:///www.familysearch.org/indexing/admin-new/#/projects/A6FF22E5-4176-41EC-9D59-A92B81F8356B/overview];A6FF22E5-4176-41EC-9D59-A92B81F8356B;ACTIVE
[15-1385|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1385];Italy, Udine, Civil Registration, 1806-1900 (DGA Project) - FSI;In Production;[Italy (Italian Ancestors), Udine—Civil Registration, 1806–1900 \[Part 2N\]|https:///www.familysearch.org/indexing/admin-new/#/projects/AD91BC7A-0FE3-4D7F-968A-EFF9514BBD66/overview];AD91BC7A-0FE3-4D7F-968A-EFF9514BBD66;ACTIVE
[15-1385|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1385];Italy, Udine, Civil Registration, 1806-1900 (DGA Project) - FSI;In Production;[Italy (Italian Ancestors), Udine—Civil Registration, 1806–1900 \[Part 2O\] TEST|https:///www.familysearch.org/indexing/admin-new/#/projects/05A2C72B-5E41-4B39-B9A9-5D9D4D852CC7/overview];05A2C72B-5E41-4B39-B9A9-5D9D4D852CC7;TEST
