Traveler;Rosetta Project;Rosetta State;IDX Project;Project UUID;Project State
[11-1231|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=11-1231];United States World War One (WWI) Draft Registration Cards 1917-1918 Part 3-FSI;In Production;[US (Quick Batch), Kansas—World War I Draft Registration Cards, 1917–1918 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/0652F9F8-B49C-4499-8EAE-9534357B97C5/overview];0652F9F8-B49C-4499-8EAE-9534357B97C5;READY_FOR_DELIVERY
[11-1231|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=11-1231];United States World War One (WWI) Draft Registration Cards 1917-1918 Part 3-FSI;In Production;[US (Quick Batch), Ohio—World War I Draft Registration Cards, 1917–1918 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/1C1192D4-B1FE-49DD-92D9-27410528912C/overview];1C1192D4-B1FE-49DD-92D9-27410528912C;READY_FOR_DELIVERY
[11-1231|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=11-1231];United States World War One (WWI) Draft Registration Cards 1917-1918 Part 3-FSI;In Production;[US, Illinois—World War I Draft Registration Cards, 1917–1918 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/2566FC70-C54E-41DA-A384-8DECE190F8D7/overview];2566FC70-C54E-41DA-A384-8DECE190F8D7;READY_FOR_DELIVERY
[11-1231|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=11-1231];United States World War One (WWI) Draft Registration Cards 1917-1918 Part 3-FSI;In Production;[US, Indiana—World War I Draft Registration Cards, 1917–1918 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/94987DEB-3BE9-4829-8014-2D70198DBE31/overview];94987DEB-3BE9-4829-8014-2D70198DBE31;READY_FOR_DELIVERY
[11-1231|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=11-1231];United States World War One (WWI) Draft Registration Cards 1917-1918 Part 3-FSI;In Production;[US, Iowa—World War I Draft Registration Cards, 1917–1918 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/E1FC3E1C-BFCE-4AAE-9BCF-B62449E29F31/overview];E1FC3E1C-BFCE-4AAE-9BCF-B62449E29F31;READY_FOR_DELIVERY
[11-1231|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=11-1231];United States World War One (WWI) Draft Registration Cards 1917-1918 Part 3-FSI;In Production;[US, Michigan—World War I Draft Registration Cards, 1917–1918 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/CDEDAFC0-B791-442C-A54D-D7388EAF53D3/overview];CDEDAFC0-B791-442C-A54D-D7388EAF53D3;READY_FOR_DELIVERY
[11-1231|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=11-1231];United States World War One (WWI) Draft Registration Cards 1917-1918 Part 3-FSI;In Production;[US, Michigan—World War I Draft Registration Cards, 1917–1918 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/71E758F8-030C-4070-8271-78120ACA78E7/overview];71E758F8-030C-4070-8271-78120ACA78E7;READY_FOR_DELIVERY
[11-1231|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=11-1231];United States World War One (WWI) Draft Registration Cards 1917-1918 Part 3-FSI;In Production;[US, Minnesota—World War I Draft Registration Cards, 1917–1918 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/B59F9065-7DE3-4FFB-8350-EB4CF22473E4/overview];B59F9065-7DE3-4FFB-8350-EB4CF22473E4;READY_FOR_DELIVERY
[11-1231|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=11-1231];United States World War One (WWI) Draft Registration Cards 1917-1918 Part 3-FSI;In Production;[US, Wisconsin—World War I Draft Registration Cards, 1917–1918 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/20E7E47C-23A1-47FC-8A45-39DB642C86DD/overview];20E7E47C-23A1-47FC-8A45-39DB642C86DD;READY_FOR_DELIVERY
[11-1231|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=11-1231];United States World War One (WWI) Draft Registration Cards 1917-1918 Part 3-FSI;In Production;[US—World War I Draft Registration Cards, 1917–1918 \[Part F\]|https://www.familysearch.org/indexing/admin-new/#/projects/A36797A7-EB5D-4385-B82A-631373342699/overview];A36797A7-EB5D-4385-B82A-631373342699;READY_FOR_DELIVERY
