dgs;imageset;project
004304957;84FBFB22-A3CB-48D9-9866-6257BF33D5BE;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004305001;9E80136A-8935-4DF0-BE34-33B36DE5105E;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004305035;B5D35716-591F-4F98-A37E-2024633D0B7A;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004305089;34197B33-9E2C-47B7-8087-D57CEEFCEA2A;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004305119;54A5FB8C-D4CB-4CAF-9644-9E843B8C5B6F;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004305120;2E3C53B4-C668-4989-B669-16A9B1587162;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004305188;360B8AEB-1629-43A9-BF11-817B01207ED7;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004305328;3023910A-2FD2-45CF-9CCD-D66249773429;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004305342;7DCA654B-4566-4588-BB03-C990DA7E5330;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004305351;E1E5BF76-7BCA-45B6-A987-1019417AC653;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004305395;2C7253C1-9F0A-4BAC-913C-FF9F7D08A619;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004306086;960BF9B9-01F3-42C5-9361-D90AFF536226;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004306136;73408BF3-0875-4406-944A-8980E8D44E34;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004308376;68110204-7C7D-4AA0-9995-821B066050A7;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004308751;ACBF0264-DF8A-4CB7-BE0B-50618D10B6AD;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004308867;EB064A23-11DB-4376-B24F-22CB3FB0BDE4;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004308937;EA618088-68A8-41F9-BE4A-B05471BE5BF6;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004309005;233558D3-2319-4E59-A5F5-C1ED835F7269;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004309073;E7472BF5-6F15-44CE-A526-2C0A53F7B002;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004309102;63B11812-E442-41F2-B93C-0F22699320CA;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
004309147;1FD95C9A-52DE-43AD-B5F1-BC6BC51484EC;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
005037301;C4A48C71-A774-4BD5-AD9E-16D833A7614A;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
005037302;58954E3E-0368-4C24-B011-9647EB7CD12C;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
005037303;09D1A2B0-B5EB-4BE6-A89C-D8D909B159ED;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
005037304;D5D46A18-1AF1-4F48-B28C-3BD7E3CEA0B4;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
005037306;C888153B-4A58-496F-9206-FF2DDC9AC0AF;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
005037307;C020703D-8A5E-4FEE-BBBE-16EE559AD980;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
005037308;1AD95A4F-F4FC-48E7-A35A-DC5DC2E15D88;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
005037311;5D0DDBB3-0BF4-4ECA-B727-E67128685181;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
005037489;2562B479-DE5F-4957-AED0-7C9C3428B9DD;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
005037490;451358FA-A09E-4F46-9E16-0811398B9523;590A72BF-2018-4FCD-81F8-9F8A7CD24B41
008073604;0A05AF96-720E-49CC-AFE3-6559A490DBC0;E5E95462-24FE-4A2A-BDCD-A42291D42216
008082503;28F3713C-B77E-4AB4-B63B-F93B8E29E018;E5E95462-24FE-4A2A-BDCD-A42291D42216
008094069;CDE9F6DE-AF94-47A7-9AC3-B1027F6807F7;E5E95462-24FE-4A2A-BDCD-A42291D42216
008094071;6DCE692D-5059-4F4C-8FDC-2B8E53148E64;E5E95462-24FE-4A2A-BDCD-A42291D42216
008094074;DF52CD82-131E-4252-BEFC-03BDC1536FCE;E5E95462-24FE-4A2A-BDCD-A42291D42216
008094075;957D7E9C-2C6F-44DA-BFD7-D3079C2EAD30;E5E95462-24FE-4A2A-BDCD-A42291D42216
008099455;0D23307A-B743-4173-94C1-29A76BBEB3A1;BF58614F-043F-4B6E-B2EC-148F70B1E4CF
008300635;B95BF061-7505-4CA0-81B0-56A98AB62779;CBF34214-BB72-47CE-A53B-BC2377CA1711
008876048;F970FA96-85F2-4D75-A5B5-F5D5A1017B7F;E5E95462-24FE-4A2A-BDCD-A42291D42216
107678318;570CDEE9-29C0-478B-A9FC-F4F48DEE1B08;6B5EFD14-C1B9-48F3-901A-3E4084490D39
