dgs;Date added to Report;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Projects with no Imageset workflow
005372184;2020-10-30 14:46:08;14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI \\ 14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview];In Production;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview] \\ [Italia (Antenati Italiani), Mantova—Morti, 1866–1903 \[Parte P\]|https:///www.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/overview];[3917848A-FB27-4088-A6B6-083C9C99770A|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/manage/3917848A-FB27-4088-A6B6-083C9C99770A/batches/list] \\ [3917848A-FB27-4088-A6B6-083C9C99770A|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/manage/3917848A-FB27-4088-A6B6-083C9C99770A/batches/list];ACTIVE \\ READY_FOR_DELIVERY;
005410477;2020-10-30 14:46:08;14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI \\ 14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview];In Production;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview] \\ [Italia (Antenati Italiani), Mantova—Morti, 1866–1903 \[Parte P\]|https:///www.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/overview];[2A4B553E-8E35-4208-9FCC-521183645B45|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/manage/2A4B553E-8E35-4208-9FCC-521183645B45/batches/list] \\ [2A4B553E-8E35-4208-9FCC-521183645B45|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/manage/2A4B553E-8E35-4208-9FCC-521183645B45/batches/list];ACTIVE \\ READY_FOR_DELIVERY;
005410500;2020-10-30 14:46:08;14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI \\ 14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview];In Production;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview] \\ [Italia (Antenati Italiani), Mantova—Morti, 1866–1903 \[Parte P\]|https:///www.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/overview];[05C9DC8A-E587-4FC4-8680-F9E4DC2EC2F1|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/manage/05C9DC8A-E587-4FC4-8680-F9E4DC2EC2F1/batches/list] \\ [05C9DC8A-E587-4FC4-8680-F9E4DC2EC2F1|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/manage/05C9DC8A-E587-4FC4-8680-F9E4DC2EC2F1/batches/list];ACTIVE \\ READY_FOR_DELIVERY;
005410505;2020-10-30 14:46:08;14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI \\ 14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview];In Production;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview] \\ [Italia (Antenati Italiani), Mantova—Morti, 1866–1903 \[Parte P\]|https:///www.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/overview];[AA22D2DC-AED1-452C-8348-8947B7CAB258|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/manage/AA22D2DC-AED1-452C-8348-8947B7CAB258/batches/list] \\ [AA22D2DC-AED1-452C-8348-8947B7CAB258|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/manage/AA22D2DC-AED1-452C-8348-8947B7CAB258/batches/list];ACTIVE \\ READY_FOR_DELIVERY;
005410812;2020-10-30 14:46:08;14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI \\ 14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview];In Production;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview] \\ [Italia (Antenati Italiani), Mantova—Morti, 1866–1903 \[Parte P\]|https:///www.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/overview];[FA64E303-0DE2-4A16-978D-1806B1062CA1|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/manage/FA64E303-0DE2-4A16-978D-1806B1062CA1/batches/list] \\ [FA64E303-0DE2-4A16-978D-1806B1062CA1|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/manage/FA64E303-0DE2-4A16-978D-1806B1062CA1/batches/list];ACTIVE \\ READY_FOR_DELIVERY;
005414613;2020-10-30 14:46:08;14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI \\ 14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview];In Production;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview] \\ [Italia (Antenati Italiani), Mantova—Morti, 1866–1903 \[Parte P\]|https:///www.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/overview];[672584A7-8040-4E75-BDA3-8B71DE98FB21|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/manage/672584A7-8040-4E75-BDA3-8B71DE98FB21/batches/list] \\ [672584A7-8040-4E75-BDA3-8B71DE98FB21|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/manage/672584A7-8040-4E75-BDA3-8B71DE98FB21/batches/list];ACTIVE \\ READY_FOR_DELIVERY;
005792054;2020-10-30 14:46:08;14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI \\ 14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview];In Production;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview] \\ [Italia (Antenati Italiani), Mantova—Morti, 1866–1903 \[Parte P\]|https:///www.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/overview];[9A1B0D33-1E5D-4733-B77E-CBE3F2E6C8F5|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/manage/9A1B0D33-1E5D-4733-B77E-CBE3F2E6C8F5/batches/list] \\ [9A1B0D33-1E5D-4733-B77E-CBE3F2E6C8F5|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/manage/9A1B0D33-1E5D-4733-B77E-CBE3F2E6C8F5/batches/list];ACTIVE \\ READY_FOR_DELIVERY;
005792056;2020-10-30 14:46:08;14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI \\ 14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview];In Production;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview] \\ [Italia (Antenati Italiani), Mantova—Morti, 1866–1903 \[Parte P\]|https:///www.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/overview];[EDBC8DA0-E582-4309-82D1-564D8ABAB608|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/manage/EDBC8DA0-E582-4309-82D1-564D8ABAB608/batches/list] \\ [EDBC8DA0-E582-4309-82D1-564D8ABAB608|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/manage/EDBC8DA0-E582-4309-82D1-564D8ABAB608/batches/list];ACTIVE \\ READY_FOR_DELIVERY;
005792060;2020-10-30 14:46:08;14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI \\ 14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview];In Production;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview] \\ [Italia (Antenati Italiani), Mantova—Morti, 1866–1903 \[Parte P\]|https:///www.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/overview];[DE80507E-5FE0-4663-8F53-C0C2302F3A03|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/manage/DE80507E-5FE0-4663-8F53-C0C2302F3A03/batches/list] \\ [DE80507E-5FE0-4663-8F53-C0C2302F3A03|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/manage/DE80507E-5FE0-4663-8F53-C0C2302F3A03/batches/list];ACTIVE \\ READY_FOR_DELIVERY;
005812875;2020-10-30 14:46:08;14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI \\ 14-0267: Italy, Mantova, Civil Registration, 1866-1903 (DGA Project), part 2 - FSI;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview];In Production;[Italy (Italian Ancestors), Mantova—Civil Registration, 1820–1865 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/overview] \\ [Italia (Antenati Italiani), Mantova—Morti, 1866–1903 \[Parte P\]|https:///www.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/overview];[EAEE8AB2-892A-48A5-8500-5E402FE0E856|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/5A57F548-D60C-4F03-9B12-8A15FF1A257B/manage/EAEE8AB2-892A-48A5-8500-5E402FE0E856/batches/list] \\ [EAEE8AB2-892A-48A5-8500-5E402FE0E856|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/E1665E7D-067D-4D67-8CF7-EA1914624D88/manage/EAEE8AB2-892A-48A5-8500-5E402FE0E856/batches/list];ACTIVE \\ READY_FOR_DELIVERY;
