project UUID;name;count;state
[ed923d3d-b32e-41ad-b100-b30f86b3cbf1];[Brazil, Santa Catarina—Civil Registration, 1871–1999 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/ed923d3d-b32e-41ad-b100-b30f86b3cbf1/overview];1;ACTIVE
[b07ada92-9eea-4283-8895-0f17e4dd8f26];[Peru, Ayacucho—Civil Registration, 1903–1999 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/b07ada92-9eea-4283-8895-0f17e4dd8f26/overview];1;ACTIVE
[d21a0220-8f2c-421f-9844-f8ad9bec786a];[US—Compiled Military Service Records of Volunteer Union Soldiers Who Served with the U.S. Colored Troops, 1861–1866 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/d21a0220-8f2c-421f-9844-f8ad9bec786a/overview];1;ACTIVE
[c4084cef-8a80-4c33-a83a-578420abc0a3];[Philippines—Marriage Records, 1945–1987 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/c4084cef-8a80-4c33-a83a-578420abc0a3/overview];1;ACTIVE
[f9ae0610-94a1-471b-932d-4ec7aa502232];[US, New York, Central Region—Index to Land Records, Grantors, 1630-1975 \[Part G\]|https://www.familysearch.org/indexing/admin-new/#/projects/f9ae0610-94a1-471b-932d-4ec7aa502232/overview];1;ACTIVE
[5a57f548-d60c-4f03-9b12-8a15ff1a257b];[Italia (Antenati Italiani), Mantova—Stato Civile, 1820–1865 \[Parte R\]|https://www.familysearch.org/indexing/admin-new/#/projects/5a57f548-d60c-4f03-9b12-8a15ff1a257b/overview];1;ACTIVE
[d987fa6e-0051-481d-b4bd-17ec5a6aec36];[Sri Lanka, District Colombo—Nederlands hervormde doopfeesten en huwelijken, 1677–1810 \[deel B\]|https://www.familysearch.org/indexing/admin-new/#/projects/d987fa6e-0051-481d-b4bd-17ec5a6aec36/overview];1;ACTIVE
[a6ff22e5-4176-41ec-9d59-a92b81f8356b];[Italy (Antenati Italiani), Udine—Civil Registration, 1806–1900 \[Part 2M\]|https://www.familysearch.org/indexing/admin-new/#/projects/a6ff22e5-4176-41ec-9d59-a92b81f8356b/overview];1;ACTIVE
[f133c8eb-de65-4457-9e8a-530cc99b77fd];[Philippines, Camarines Sur, Caceres—Registros Parroquiales, 1716–1977 \[Parte B\]|https://www.familysearch.org/indexing/admin-new/#/projects/f133c8eb-de65-4457-9e8a-530cc99b77fd/overview];1;ACTIVE
[83604d82-b4fc-4567-8590-34d0b47a3f53];[España, Provincia de Asturias—registro civil, 1836–1871 \[Parte A\]|https://www.familysearch.org/indexing/admin-new/#/projects/83604d82-b4fc-4567-8590-34d0b47a3f53/overview];1;ACTIVE
[28f5fb94-bf0f-4c35-b225-f7023f67fba4];[US, New York—County Naturalization Records, 1792–1976 \[Part Q\]|https://www.familysearch.org/indexing/admin-new/#/projects/28f5fb94-bf0f-4c35-b225-f7023f67fba4/overview];1;ACTIVE
[58cfe73d-f648-4dec-8406-6e8e6cab5089];[US, Minnesota—Minnesota Historical Society, Death Records, 1899–2001 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/58cfe73d-f648-4dec-8406-6e8e6cab5089/overview];1;ACTIVE
[4420c05a-1f86-4433-bbc1-fddcb4b92c42];[Uruguay—Civil Registration, Index Cards 1900–1937 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/4420c05a-1f86-4433-bbc1-fddcb4b92c42/overview];1;ACTIVE
[580b0fa5-b8b1-4a32-aa70-fda094a5a8a2];[US, Texas—Airplane Passenger and Crew Lists, 1931–1957|https://www.familysearch.org/indexing/admin-new/#/projects/580b0fa5-b8b1-4a32-aa70-fda094a5a8a2/overview];1;ACTIVE
[feacc4b6-200e-462e-bdfa-27e8ffd75154];[UK—War Office Registers, Enlistment Rolls 1772–1935 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/feacc4b6-200e-462e-bdfa-27e8ffd75154/overview];1;ACTIVE
[d47cb886-039e-477d-b9df-02076f3d5594];[US, Michigan—Muriel Obituary File, 1930–1975 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/d47cb886-039e-477d-b9df-02076f3d5594/overview];1;ACTIVE
[ec1c44b3-dd99-4c57-83c1-c3c984797e7c];[US, California—Passenger and Crew Lists at San Pedro and Los Angeles, 1907–1949|https://www.familysearch.org/indexing/admin-new/#/projects/ec1c44b3-dd99-4c57-83c1-c3c984797e7c/overview];1;ACTIVE
[44b24833-e165-498f-b781-e2e89f2d4b30];[España, La Coruña, Riveira—Censo municipal, 1862–1960|https://www.familysearch.org/indexing/admin-new/#/projects/44b24833-e165-498f-b781-e2e89f2d4b30/overview];1;ACTIVE
