dgs;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Projects with no Imageset workflow
105337289;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;ADF5CAF1-826B-4520-A45A-7946D5E13208;;
105337290;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;382D878D-93CD-4C65-A3FA-2931C290DEB6;;
105337291;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;C77D3CD3-7B78-476E-9A59-1E262A119AAF;;
105337292;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;00FC8F5C-AD52-483B-9BA5-4A551371505C;;
105337293;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;F573F564-CDBF-49CE-96B2-104CB3DB4E93;;
105337294;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;7EA3E7BF-2644-46A7-A20E-BE9BF08E417D;;
105337295;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;0E109761-5638-468D-837F-A06D4F84C2A3;;
105337296;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;DE8D11E9-1972-40B8-AB1B-7DA1F5D08F63;;
105337297;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;35CE0CE4-07F3-4B25-A743-FAA070222655;;
105337298;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;5B10DADC-BD12-4149-A597-BDB0B3704E97;;
105337299;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;836C5FBE-99F8-41FE-B703-E46E7B715BB0;;
105337300;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;79785C49-88D6-4EB5-91AA-74BA68604FC0;;
105337301;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;67DD4AAC-A166-40CF-B15A-04880AB36D39;;
105337302;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;796CA081-2206-45B8-B41D-B683AB96A311;;
105337303;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;29946437-6440-469B-A568-0BDC0A383BB7;;
105337304;18-0644: New Hampshire, World War II Draft Registration Cards,1940-1945 (NARA) - FSI;[US, New Hampshire—World War II Draft Registration Cards, 1940–1945|https://www.familysearch.org/indexing/admin-new/#/projects/80A6C3CB-41F0-428A-AB3C-5C1568FBCA47/overview];In Production;;F23C0F5E-0335-4A82-84D9-1CAF26D67ACC;;
