Traveler;Rosetta Project;Rosetta State;IDX Project;Project State
[14-1781|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=14-1781];Switzerland, Fribourg, Census, 1880 (German Content) - FSI;In Production;[Schweiz, Freiburg—1880 Volkszählungslisten|https://www.familysearch.org/indexing/admin-new/#/projects/45FF173A-5F79-42C9-84DB-FFEA5E116004/overview];45FF173A-5F79-42C9-84DB-FFEA5E116004;ACTIVE
[14-0365|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=14-0365];Switzerland, Fribourg, Census, 1880 (German Content) - FSI;In Production;[Suisse, Fribourg — Recensement de 1880 \[Parte B\]|https://www.familysearch.org/indexing/admin-new/#/projects/D479AE76-881F-4DB3-9E80-802B4EE5807E/overview];D479AE76-881F-4DB3-9E80-802B4EE5807E;ACTIVE
[14-0365|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=14-0365];Switzerland, Fribourg, Census, 1880 (German Content) - FSI;In Production;[Switzerland, Fribourg—1880 Census \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/6875565E-C799-4226-A7F0-9FC57572BB90/overview];6875565E-C799-4226-A7F0-9FC57572BB90;READY_FOR_WORK
