Traveler;Rosetta Project;Rosetta State;IDX Project;Project State
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/4104188D-600D-442F-BFF0-64E4E333864B/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part F\]|https://www.familysearch.org/indexing/admin-new/#/projects/EC5D0D96-8378-4679-B0CE-7BF59B12D483/overview];READY_FOR_DELIVERY
[15-1420|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=15-1420];Iowa, Old Age Assistance Records, 1934-1946 - FSI - IDX;In Production;[US, Iowa—Old Age Assistance Records, 1934–1946 \[Part F\]|https://www.familysearch.org/indexing/admin-new/#/projects/EC5D0D96-8378-4679-B0CE-7BF59B12D483/overview];READY_FOR_DELIVERY
