project UUID;name;count;state
[7A3C1BAD-B2B5-41AE-A78F-BD74ECF3B3A7];[Germany, Sachsen—Church Records, 1500–1984|https://www.familysearch.org/indexing/admin-new/#/projects/7A3C1BAD-B2B5-41AE-A78F-BD74ECF3B3A7/overview];233;TEST
[17A9FF92-3E1B-48A1-AF80-D96373187594];[Danmark, København—Begravelsesregistre, 1805–1968 \[Del A\]|https://www.familysearch.org/indexing/admin-new/#/projects/17A9FF92-3E1B-48A1-AF80-D96373187594/overview];25892;TEST
[DD47D587-83F7-45C3-9B55-A8782CC300AA];[Sweden, Stockholm City—Index to Church Records, 1546—1927 \[Part 8\]|https://www.familysearch.org/indexing/admin-new/#/projects/DD47D587-83F7-45C3-9B55-A8782CC300AA/overview];2;TEST
[FB6E2F37-F796-4EE8-9C54-3F3339389990];[Switzerland, Fribourg—1839 Census|https://www.familysearch.org/indexing/admin-new/#/projects/FB6E2F37-F796-4EE8-9C54-3F3339389990/overview];10;TEST
[80D215B6-708F-470C-868D-19575420F361];[US, Hawaii—Chinese Immigration Labor Permit Records, 1893–1898|https://www.familysearch.org/indexing/admin-new/#/projects/80D215B6-708F-470C-868D-19575420F361/overview];33;TEST
[B216F876-2F74-45AA-9147-D79163884857];[Colombia—Registros de la Iglesia Católica, 1693–2010 \[Parte C\]|https://www.familysearch.org/indexing/admin-new/#/projects/B216F876-2F74-45AA-9147-D79163884857/overview];104;TEST
[120B45B7-7675-4F8E-BBCC-DAFDF9B526B9];[US, Hawaii, Honolulu—Japanese Consulate, Japanese Family Registration Cards, 1897–1955 \[Part B\] Test|https://www.familysearch.org/indexing/admin-new/#/projects/120B45B7-7675-4F8E-BBCC-DAFDF9B526B9/overview];180;TEST
[B79D9DC2-0AF0-4FC4-BFB3-A2D7E0E2E138];[France, Eure—1876 Census|https://www.familysearch.org/indexing/admin-new/#/projects/B79D9DC2-0AF0-4FC4-BFB3-A2D7E0E2E138/overview];255;TEST
[F1747DD9-1153-4E7A-B5C9-41BB56CF7ECB];[Denmark, Aarhus—1936 Census \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/F1747DD9-1153-4E7A-B5C9-41BB56CF7ECB/overview];74;TEST
[E1404DBE-012F-498E-8E31-4D69C35D5158];[Schweiz, Freiburg—1880 Volkszählungslisten \[Teil B\]|https://www.familysearch.org/indexing/admin-new/#/projects/E1404DBE-012F-498E-8E31-4D69C35D5158/overview];217;TEST
