Traveler;Rosetta Project;Rosetta State;IDX Project;Project UUID;Project State
[20-0792|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=20-0792];Liberia, Census, 2008 - FSI;In Production;[Liberia—2008 Census \[Part A\]|https:///www.familysearch.org/indexing/admin-new/#/projects/7E172D67-FC82-4CCA-91B0-607376DAD896/overview];7E172D67-FC82-4CCA-91B0-607376DAD896;READY_FOR_DELIVERY
[20-0792|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=20-0792];Liberia, Census, 2008 - FSI;In Production;[Liberia—2008 Census \[Part B\]|https:///www.familysearch.org/indexing/admin-new/#/projects/4E4BBA8D-77CB-40DD-970F-3FBCD6D6F803/overview];4E4BBA8D-77CB-40DD-970F-3FBCD6D6F803;READY_FOR_DELIVERY
[20-0792|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=20-0792];Liberia, Census, 2008 - FSI;In Production;[Liberia—2008 Census \[Part C\]|https:///www.familysearch.org/indexing/admin-new/#/projects/54097F75-CFDC-4F20-ABE4-42022E6957BF/overview];54097F75-CFDC-4F20-ABE4-42022E6957BF;READY_FOR_DELIVERY
[20-0792|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=20-0792];Liberia, Census, 2008 - FSI;In Production;[Liberia—2008 Census \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/76AC7F6D-C479-4BD7-B93C-491AACBDCA88/overview];76AC7F6D-C479-4BD7-B93C-491AACBDCA88;READY_FOR_DELIVERY
[20-0792|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=20-0792];Liberia, Census, 2008 - FSI;In Production;[Liberia—2008 Census \[Part E\]|https:///www.familysearch.org/indexing/admin-new/#/projects/39ACE088-A2B0-408A-9A9B-2BE789E1FB5A/overview];39ACE088-A2B0-408A-9A9B-2BE789E1FB5A;READY_FOR_DELIVERY
[20-0792|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=20-0792];Liberia, Census, 2008 - FSI;In Production;[Liberia—2008 Census \[Part F\]|https:///www.familysearch.org/indexing/admin-new/#/projects/5A40288C-445C-47B1-81CD-E9A08755E847/overview];5A40288C-445C-47B1-81CD-E9A08755E847;ACTIVE
[20-0792|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=20-0792];Liberia, Census, 2008 - FSI;In Production;[Liberia—2008 Census \[Part G\]|https:///www.familysearch.org/indexing/admin-new/#/projects/980CFD1A-B3DF-4FA6-B903-1304B5A2D1DC/overview];980CFD1A-B3DF-4FA6-B903-1304B5A2D1DC;ACTIVE
[20-0792|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=20-0792];Liberia, Census, 2008 - FSI;In Production;[Liberia—2008 Census \[Part H\]|https:///www.familysearch.org/indexing/admin-new/#/projects/FEB1DCF5-BFD6-42F2-BB87-673B17FD8C02/overview];FEB1DCF5-BFD6-42F2-BB87-673B17FD8C02;ACTIVE
[20-0792|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=20-0792];Liberia, Census, 2008 - FSI;In Production;[Liberia—2008 Census \[Part I\]|https:///www.familysearch.org/indexing/admin-new/#/projects/769649B9-7677-4416-9F5B-6119E0F392ED/overview];769649B9-7677-4416-9F5B-6119E0F392ED;READY_FOR_WORK
