dgs;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Projects with no Imageset workflow
106985540;19-2007: Oregon, Willamette Valley Genealogical Society, Marriage Index 1849-1884; 1991-2006 - FSI;;;[US, Oregon, Willamette Valley—Marriage Index Records, 1849–1884; 1991–2006|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/overview];[F205E7EF-D996-4C0E-8138-945654C00DEF|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/manage/F205E7EF-D996-4C0E-8138-945654C00DEF/batches/list];READY_FOR_DELIVERY;
106985541;19-2007: Oregon, Willamette Valley Genealogical Society, Marriage Index 1849-1884; 1991-2006 - FSI;;;[US, Oregon, Willamette Valley—Marriage Index Records, 1849–1884; 1991–2006|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/overview];[5662D45B-D88D-4A24-B924-38CE51704998|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/manage/5662D45B-D88D-4A24-B924-38CE51704998/batches/list];READY_FOR_DELIVERY;
106985542;19-2007: Oregon, Willamette Valley Genealogical Society, Marriage Index 1849-1884; 1991-2006 - FSI;;;[US, Oregon, Willamette Valley—Marriage Index Records, 1849–1884; 1991–2006|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/overview];[11923C76-2AC7-43D1-AC71-E11D20074DEB|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/manage/11923C76-2AC7-43D1-AC71-E11D20074DEB/batches/list];READY_FOR_DELIVERY;
106985543;19-2007: Oregon, Willamette Valley Genealogical Society, Marriage Index 1849-1884; 1991-2006 - FSI;;;[US, Oregon, Willamette Valley—Marriage Index Records, 1849–1884; 1991–2006|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/overview];[DB6BF836-32C0-4376-9C3E-9B0BFC2CF762|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/manage/DB6BF836-32C0-4376-9C3E-9B0BFC2CF762/batches/list];READY_FOR_DELIVERY;
106985544;19-2007: Oregon, Willamette Valley Genealogical Society, Marriage Index 1849-1884; 1991-2006 - FSI;;;[US, Oregon, Willamette Valley—Marriage Index Records, 1849–1884; 1991–2006|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/overview];[736F7B0A-D8D0-4631-8BBC-7A2238B3DB07|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/manage/736F7B0A-D8D0-4631-8BBC-7A2238B3DB07/batches/list];READY_FOR_DELIVERY;
106985545;19-2007: Oregon, Willamette Valley Genealogical Society, Marriage Index 1849-1884; 1991-2006 - FSI;;;[US, Oregon, Willamette Valley—Marriage Index Records, 1849–1884; 1991–2006|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/overview];[51D611C0-1218-4E3A-A9D9-29D658EC858D|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/manage/51D611C0-1218-4E3A-A9D9-29D658EC858D/batches/list];READY_FOR_DELIVERY;
106985546;19-2007: Oregon, Willamette Valley Genealogical Society, Marriage Index 1849-1884; 1991-2006 - FSI;;;[US, Oregon, Willamette Valley—Marriage Index Records, 1849–1884; 1991–2006|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/overview];[62913809-74E8-4098-9B6A-9DACC887BB46|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/manage/62913809-74E8-4098-9B6A-9DACC887BB46/batches/list];READY_FOR_DELIVERY;
106985547;19-2007: Oregon, Willamette Valley Genealogical Society, Marriage Index 1849-1884; 1991-2006 - FSI;;;[US, Oregon, Willamette Valley—Marriage Index Records, 1849–1884; 1991–2006|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/overview];[27BBFF24-7FA7-4FF3-A211-001759598AAA|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/manage/27BBFF24-7FA7-4FF3-A211-001759598AAA/batches/list];READY_FOR_DELIVERY;
106985548;19-2007: Oregon, Willamette Valley Genealogical Society, Marriage Index 1849-1884; 1991-2006 - FSI;;;[US, Oregon, Willamette Valley—Marriage Index Records, 1849–1884; 1991–2006|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/overview];[945BA8BA-E51F-4B5A-86C9-BB9E96B021A2|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/manage/945BA8BA-E51F-4B5A-86C9-BB9E96B021A2/batches/list];READY_FOR_DELIVERY;
106985549;19-2007: Oregon, Willamette Valley Genealogical Society, Marriage Index 1849-1884; 1991-2006 - FSI;;;[US, Oregon, Willamette Valley—Marriage Index Records, 1849–1884; 1991–2006|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/overview];[FDCFBC4E-AF4A-463B-AB69-8A8952B8A2E8|https://www.familysearch.org/indexing/admin-new/#/projects/FF766367-35D5-46C8-AF11-9684B0C8CEEE/manage/FDCFBC4E-AF4A-463B-AB69-8A8952B8A2E8/batches/list];READY_FOR_DELIVERY;
