dgs;Traveler: Project;Rosetta Assigned Project;Rosetta State;IDX Assigned Project;imageset;Project State;Projects with no Imageset workflow
004006329;16-1555: England, Northumberland Parish Registers, 1538-2012 - FSI;;;[UK, England, Northumberland—Parish Registers, 1754–2012 \[Part D\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/overview];[F1C1D3C1-106B-48C6-A995-997D8D9D763B|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/F1C1D3C1-106B-48C6-A995-997D8D9D763B/batches/list];READY_FOR_DELIVERY;
004024652;16-1555: England, Northumberland Parish Registers, 1538-2012 - FSI;;;[UK, England, Northumberland—Parish Registers, 1754–2012 \[Part D\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/overview];[C903FD09-79F3-4957-B5F6-460DAA7EAD30|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/C903FD09-79F3-4957-B5F6-460DAA7EAD30/batches/list];READY_FOR_DELIVERY;
004628941;16-1555: England, Northumberland Parish Registers, 1538-2012 - FSI;;;[UK, England, Northumberland—Parish Registers, 1754–2012 \[Part D\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/overview];[AD1B5116-1166-4490-BA69-7614B4518C9D|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/AD1B5116-1166-4490-BA69-7614B4518C9D/batches/list];READY_FOR_DELIVERY;
004628942;16-1555: England, Northumberland Parish Registers, 1538-2012 - FSI;;;[UK, England, Northumberland—Parish Registers, 1754–2012 \[Part D\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/overview];[383EED81-82FE-4C54-AA55-168458789AA3|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/383EED81-82FE-4C54-AA55-168458789AA3/batches/list];READY_FOR_DELIVERY;
004629142;16-1555: England, Northumberland Parish Registers, 1538-2012 - FSI;;;[UK, England, Northumberland—Parish Registers, 1754–2012 \[Part D\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/overview];[A06CD12D-78E8-4293-B8D5-C6E83053200D|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/A06CD12D-78E8-4293-B8D5-C6E83053200D/batches/list];READY_FOR_DELIVERY;
004629145;16-1555: England, Northumberland Parish Registers, 1538-2012 - FSI;;;[UK, England, Northumberland—Parish Registers, 1754–2012 \[Part D\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/overview];[9C8FC17B-47EF-4BC7-9B9D-5D3C6029B370|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/9C8FC17B-47EF-4BC7-9B9D-5D3C6029B370/batches/list];READY_FOR_DELIVERY;
004629149;16-1555: England, Northumberland Parish Registers, 1538-2012 - FSI;;;[UK, England, Northumberland—Parish Registers, 1754–2012 \[Part D\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/overview];[D110C2CE-333F-4B64-B1FA-9B33F362C60C|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/D110C2CE-333F-4B64-B1FA-9B33F362C60C/batches/list];READY_FOR_DELIVERY;
004629673;16-1555: England, Northumberland Parish Registers, 1538-2012 - FSI;;;[UK, England, Northumberland—Parish Registers, 1754–2012 \[Part D\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/overview];[7213AA88-669B-4368-B708-7F6E58605959|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/7213AA88-669B-4368-B708-7F6E58605959/batches/list];READY_FOR_DELIVERY;
004629695;16-1555: England, Northumberland Parish Registers, 1538-2012 - FSI;;;[UK, England, Northumberland—Parish Registers, 1754–2012 \[Part D\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/overview];[59BC7A41-97A5-4B98-93CC-54035A5ADF37|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/59BC7A41-97A5-4B98-93CC-54035A5ADF37/batches/list];READY_FOR_DELIVERY;
004629758;16-1555: England, Northumberland Parish Registers, 1538-2012 - FSI;;;[UK, England, Northumberland—Parish Registers, 1754–2012 \[Part D\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/overview];[5DD29BE2-434E-43CE-85F6-79F1E0A93C63|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/5DD29BE2-434E-43CE-85F6-79F1E0A93C63/batches/list];READY_FOR_DELIVERY;
008089374;16-1555: England, Northumberland Parish Registers, 1538-2012 - FSI;;;[UK, England, Northumberland—Parish Registers, 1754–2012 \[Part D\]|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/overview];[951F2C1E-8B71-4382-A1B9-C4827B5CC449|https://sg30p0.familysearch.org/indexing/admin-new/#/projects/C3146690-ADEC-4072-B47F-F9A5CA90C822/manage/951F2C1E-8B71-4382-A1B9-C4827B5CC449/batches/list];READY_FOR_DELIVERY;
