Traveler;Rosetta Project;Rosetta State;IDX Project;Project UUID;Project State
[19-1263|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=19-1263];Peru, Ayacucho, Civil Registration, 1903-1999 - FSI/DB for FSI Support;In Production;[Peru, Ayacucho—Civil Registration, 1903–1999 \[Part A\]|https://www.familysearch.org/indexing/admin-new/#/projects/AC410BA8-639A-4DF8-B30F-D44C903EDD44/overview];AC410BA8-639A-4DF8-B30F-D44C903EDD44;READY_FOR_DELIVERY
[19-1263|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=19-1263];Peru, Ayacucho, Civil Registration, 1903-1999 - FSI/DB for FSI Support;In Production;[Peru, Ayacucho—Civil Registration, 1903–1999 \[Part B\]|https://www.familysearch.org/indexing/admin-new/#/projects/B07ADA92-9EEA-4283-8895-0F17E4DD8F26/overview];B07ADA92-9EEA-4283-8895-0F17E4DD8F26;READY_FOR_DELIVERY
[19-1263|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=19-1263];Peru, Ayacucho, Civil Registration, 1903-1999 - FSI/DB for FSI Support;In Production;[Peru, Ayacucho—Civil Registration, 1903–1999 \[Part C\]|https://www.familysearch.org/indexing/admin-new/#/projects/C6516B72-7E1E-4907-8A9A-2911172F68F7/overview];C6516B72-7E1E-4907-8A9A-2911172F68F7;READY_FOR_DELIVERY
[19-1263|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=19-1263];Peru, Ayacucho, Civil Registration, 1903-1999 - FSI/DB for FSI Support;In Production;[Peru, Ayacucho—Civil Registration, 1903–1999 \[Part D\]|https://www.familysearch.org/indexing/admin-new/#/projects/1AE68CB8-6F5B-4798-AB87-1D07B96BAA41/overview];1AE68CB8-6F5B-4798-AB87-1D07B96BAA41;ACTIVE
[19-1263|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=19-1263];Peru, Ayacucho, Civil Registration, 1903-1999 - FSI/DB for FSI Support;In Production;[Peru, Ayacucho—Civil Registration, 1903–1999 \[Part E\]|https://www.familysearch.org/indexing/admin-new/#/projects/5BDEEE25-0D31-47A9-AF84-83EDA218FC65/overview];5BDEEE25-0D31-47A9-AF84-83EDA218FC65;READY_FOR_DELIVERY
[19-1263|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=19-1263];Peru, Ayacucho, Civil Registration, 1903-1999 - FSI/DB for FSI Support;In Production;[Peru, Ayacucho—Civil Registration, 1903–1999 \[Part F\]|https://www.familysearch.org/indexing/admin-new/#/projects/62FC3A48-0256-4AFD-9A04-E9A8439A94B9/overview];62FC3A48-0256-4AFD-9A04-E9A8439A94B9;ACTIVE
[19-1263|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=19-1263];Peru, Ayacucho, Civil Registration, 1903-1999 - FSI/DB for FSI Support;In Production;[Peru, Ayacucho—Civil Registration, 1903–1999 \[Part G\]|https://www.familysearch.org/indexing/admin-new/#/projects/F10A4C2B-8514-4AB0-9A6E-20B2E0FE696A/overview];F10A4C2B-8514-4AB0-9A6E-20B2E0FE696A;READY_FOR_DELIVERY
[19-1263|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=19-1263];Peru, Ayacucho, Civil Registration, 1903-1999 - FSI/DB for FSI Support;In Production;[Peru, Ayacucho—Civil Registration, 1903–1999 \[Part H\]|https://www.familysearch.org/indexing/admin-new/#/projects/6EEAB93F-64C7-460C-BEE7-D4B17A57D9BB/overview];6EEAB93F-64C7-460C-BEE7-D4B17A57D9BB;ACTIVE
[19-1263|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=19-1263];Peru, Ayacucho, Civil Registration, 1903-1999 - FSI/DB for FSI Support;In Production;[Peru, Ayacucho—Civil Registration, 1903–1999 \[Part I\]|https://www.familysearch.org/indexing/admin-new/#/projects/59895FE3-F343-4915-83C0-7431D9E7D93E/overview];59895FE3-F343-4915-83C0-7431D9E7D93E;ACTIVE
